t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123,R75n,R77n,R78n,R80n,R81n,R83n,R92n,R98n,R102n,R103n,R104n,R105n,R106n,R116n,R117n,R118n,R119n,R120n,R121n,R122n,R123n
9180,-0.138710975646973,-0.0108203887939453,-0.19472694396972698,-0.107305526733398,-0.139961242675781,-0.0920705795288086,-0.123555183410645,-0.135664939880371,-0.118242263793945,-0.0419139862060547,-0.136289596557617,-0.158164978027344,-0.15933609008789099,-0.10324287414550799,-0.188321113586426,-0.17300796508789099,-0.157071113586426,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.226602554321289,-0.0476560592651367,-0.00882816314697266,-0.154218673706055,-0.0336723327636719,-0.0480470657348633,-0.00773429870605469,-0.0455474853515625,-0.0449228286743164,-0.0500001907348633,-0.0091400146484375,-0.0435161590576172,-0.0506258010864258,-0.049296379089355497,-0.0267972946166992,-0.0575780868530273,-0.0482025146484375,-0.0453910827636719,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0706253051757812
9185,-0.138710975646973,-0.0107421875,-0.19472694396972698,-0.107305526733398,-0.139961242675781,-0.091914176940918,-0.12363338470459,-0.13550853729248002,-0.118242263793945,-0.0419139862060547,-0.136289596557617,-0.158164978027344,-0.15933609008789099,-0.103164672851562,-0.18824291229248002,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.226524353027344,-0.0476560592651367,-0.00874996185302734,-0.154218673706055,-0.0336723327636719,-0.0480470657348633,-0.00757789611816406,-0.0456256866455078,-0.0447664260864258,-0.0500001907348633,-0.0091400146484375,-0.0435161590576172,-0.0506258010864258,-0.049296379089355497,-0.0267190933227539,-0.057499885559082003,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0705471038818359
9190,-0.138710975646973,-0.0105857849121094,-0.194648742675781,-0.107305526733398,-0.139961242675781,-0.0917577743530273,-0.12363338470459,-0.13543033599853502,-0.1181640625,-0.0419139862060547,-0.136289596557617,-0.158164978027344,-0.15933609008789099,-0.10308647155761701,-0.18824291229248002,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.226524353027344,-0.0476560592651367,-0.00859355926513672,-0.15414047241210901,-0.0336723327636719,-0.0480470657348633,-0.00742149353027344,-0.0456256866455078,-0.044688224792480497,-0.049921989440917997,-0.0091400146484375,-0.0435161590576172,-0.0506258010864258,-0.049296379089355497,-0.0266408920288086,-0.057499885559082003,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0705471038818359
9195,-0.138710975646973,-0.0108203887939453,-0.194648742675781,-0.107305526733398,-0.139961242675781,-0.0916023254394531,-0.12363338470459,-0.13527393341064498,-0.1181640625,-0.0419139862060547,-0.136289596557617,-0.15808677673339802,-0.15933609008789099,-0.103008270263672,-0.18824291229248002,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.226524353027344,-0.0476560592651367,-0.00882816314697266,-0.15414047241210901,-0.0336723327636719,-0.0480470657348633,-0.00726604461669922,-0.0456256866455078,-0.0445318222045898,-0.049921989440917997,-0.0091400146484375,-0.0435161590576172,-0.050547599792480497,-0.049296379089355497,-0.0265626907348633,-0.057499885559082003,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0705471038818359
9200,-0.138710975646973,-0.0106639862060547,-0.194648742675781,-0.107305526733398,-0.139961242675781,-0.0914459228515625,-0.12363338470459,-0.135117530822754,-0.1181640625,-0.0419139862060547,-0.136289596557617,-0.15808677673339802,-0.15933609008789099,-0.102930068969727,-0.18824291229248002,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.22644615173339802,-0.0476560592651367,-0.00867176055908203,-0.15414047241210901,-0.0336723327636719,-0.0480470657348633,-0.00710964202880859,-0.0456256866455078,-0.0443754196166992,-0.049921989440917997,-0.0091400146484375,-0.0435161590576172,-0.050547599792480497,-0.049296379089355497,-0.026484489440918,-0.057499885559082003,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0704689025878906
9205,-0.138710975646973,-0.0110549926757812,-0.194648742675781,-0.107305526733398,-0.139961242675781,-0.0912895202636719,-0.12363338470459,-0.13503932952880898,-0.1181640625,-0.0419139862060547,-0.136289596557617,-0.15808677673339802,-0.15933609008789099,-0.102851867675781,-0.18816471099853502,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.17589950561523401,-0.22644615173339802,-0.0476560592651367,-0.00906276702880859,-0.15414047241210901,-0.0336723327636719,-0.0480470657348633,-0.00695323944091797,-0.0456256866455078,-0.0442972183227539,-0.049921989440917997,-0.0091400146484375,-0.0435161590576172,-0.050547599792480497,-0.049296379089355497,-0.026406288146972698,-0.0574216842651367,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.0317192077636719,-0.0704689025878906
9210,-0.138710975646973,-0.0105857849121094,-0.194648742675781,-0.107305526733398,-0.14003944396972698,-0.0911331176757812,-0.12363338470459,-0.134882926940918,-0.1181640625,-0.0419139862060547,-0.136289596557617,-0.15808677673339802,-0.159258842468262,-0.10277366638183599,-0.18816471099853502,-0.17300796508789099,-0.15699291229248002,-0.122461318969727,-0.14910221099853502,-0.175821304321289,-0.22636795043945301,-0.0476560592651367,-0.00859355926513672,-0.15414047241210901,-0.0336723327636719,-0.0481252670288086,-0.00679683685302734,-0.0456256866455078,-0.0441408157348633,-0.049921989440917997,-0.0091400146484375,-0.0435161590576172,-0.050547599792480497,-0.0492191314697266,-0.026328086853027302,-0.0574216842651367,-0.0482025146484375,-0.0453128814697266,-0.0402345657348633,-0.033203125,-0.031641006469726604,-0.0703907012939453
9215,-0.138710975646973,-0.0105857849121094,-0.194570541381836,-0.107305526733398,-0.14003944396972698,-0.0909767150878906,-0.123711585998535,-0.134727478027344,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15808677673339802,-0.159258842468262,-0.102695465087891,-0.18816471099853502,-0.17300796508789099,-0.15691471099853502,-0.122461318969727,-0.14902400970458998,-0.175821304321289,-0.22636795043945301,-0.0476560592651367,-0.00859355926513672,-0.154062271118164,-0.0336723327636719,-0.0481252670288086,-0.00664043426513672,-0.0457038879394531,-0.0439853668212891,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.050547599792480497,-0.0492191314697266,-0.026249885559082,-0.0574216842651367,-0.0482025146484375,-0.0452346801757812,-0.0402345657348633,-0.0331249237060547,-0.031641006469726604,-0.0703907012939453
9220,-0.138710975646973,-0.0108203887939453,-0.194570541381836,-0.107305526733398,-0.14003944396972698,-0.0908203125,-0.123711585998535,-0.13464927673339802,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15808677673339802,-0.159258842468262,-0.102617263793945,-0.18816471099853502,-0.172930717468262,-0.15691471099853502,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226289749145508,-0.0476560592651367,-0.00882816314697266,-0.154062271118164,-0.0336723327636719,-0.0481252670288086,-0.00648403167724609,-0.0457038879394531,-0.0439071655273438,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.050547599792480497,-0.0492191314697266,-0.0261716842651367,-0.0574216842651367,-0.0481252670288086,-0.0452346801757812,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0703125
9225,-0.138710975646973,-0.0108985900878906,-0.194570541381836,-0.107305526733398,-0.14003944396972698,-0.0907421112060547,-0.123711585998535,-0.134492874145508,-0.1181640625,-0.0419139862060547,-0.136367797851562,-0.15808677673339802,-0.159258842468262,-0.1025390625,-0.18816471099853502,-0.172930717468262,-0.15691471099853502,-0.122383117675781,-0.14902400970458998,-0.175821304321289,-0.226289749145508,-0.0476560592651367,-0.00890636444091797,-0.154062271118164,-0.0336723327636719,-0.0481252670288086,-0.00640583038330078,-0.0457038879394531,-0.0437507629394531,-0.049921989440917997,-0.0091400146484375,-0.0435943603515625,-0.050547599792480497,-0.0492191314697266,-0.0260934829711914,-0.0574216842651367,-0.0481252670288086,-0.0452346801757812,-0.040156364440917997,-0.0331249237060547,-0.031641006469726604,-0.0703125
