t_s,R75,s.1,R77,s.2,R78,s.3,R80,s.4,R81,s.5,R83,s.6,R92,s.7,R98,s.8,R100,s.9,R102,s.10,R105,s.11,R114,s.12,R117,s.13,R120,s.14,R121,s.15,R122,s.16,R124,s.17,R125,s.18,R126,s.19,R127,s.20,R128,s.21,R129
220.0,-0.0123476982116699,220.0,-0.0383946411311626,220.0,-0.0135352136567235,220.0,-0.0299649238586426,220.0,-0.0040508271194994,220.0,-0.0218164455145597,220.0,0.0179336555302143,220.0,0.0177539829164743,220.0,0.002917957259342,220.0,0.0208789836615324,220.0,0.0035117149818688,220.0,-0.0409025214612484,220.0,-0.010410213842988,220.0,0.043355654925108,220.0,0.0313946716487408,220.0,0.014707088470459,220.0,-0.041402529925108,220.0,-0.0064961435273289,220.0,-0.0272070895880461,220.0,0.114637188613415,220.0,0.121113777160645,220.0,0.107574656605721
230.0,-0.0123789785429835,230.0,-0.0384102836251259,230.0,-0.0136211393401027,230.0,-0.0295977592468262,230.0,-0.0040039061568677,230.0,-0.021543025970459,230.0,0.0183320995420218,230.0,0.0178086291998625,230.0,0.0028163909446448,230.0,0.0204570777714252,230.0,0.0032773972488939,230.0,-0.0404025092720985,230.0,-0.0100430492311716,230.0,0.0433868430554867,230.0,0.0313633941113949,230.0,0.0151446340605617,230.0,-0.0413947105407715,230.0,-0.0064335823990404,230.0,-0.0273633953183889,230.0,0.11429338902235,230.0,0.121004395186901,230.0,0.107230857014656
240.0,-0.0123867988586426,240.0,-0.0384102836251259,240.0,-0.0136914253234863,240.0,-0.0292540546506643,240.0,-0.0039492608048021,240.0,-0.0212617870420218,240.0,0.0186680797487497,240.0,0.017832089215517,240.0,0.0027070045471191,240.0,0.0200430881232023,240.0,0.0031210898887366,240.0,-0.0397696495056152,240.0,-0.0096679693087935,240.0,0.0434024818241596,240.0,0.0313555710017681,240.0,0.0155352596193552,240.0,-0.0413947105407715,240.0,-0.0063711167313158,240.0,-0.0275899898260832,240.0,0.11395750194788,240.0,0.120895005762577,240.0,0.106879331171513
250.0,-0.0124570848420262,250.0,-0.0384415648877621,250.0,-0.0137929916381836,250.0,-0.0289415363222361,250.0,-0.0039023400750011,250.0,-0.0209883693605661,250.0,0.0190742500126362,250.0,0.0178555492311716,250.0,0.0026132583152502,250.0,0.0196290016174316,250.0,0.0029648782219737,250.0,-0.0392852798104286,250.0,-0.0093008046969771,250.0,0.0434103012084961,250.0,0.0313321128487587,250.0,0.0159180648624897,250.0,-0.041386891156435,250.0,-0.0063164713792502,250.0,-0.0278712268918753,250.0,0.113629341125488,250.0,0.12079343944788,250.0,0.106527708470821
260.0,-0.0125117301940918,260.0,-0.0384962074458599,260.0,-0.0139023782685399,260.0,-0.0286368373781443,260.0,-0.0038555145729333,260.0,-0.0207305904477835,260.0,0.0194180496037006,260.0,0.0178633686155081,260.0,0.0025038719177246,260.0,0.0192461963742971,260.0,0.0027852058410644,260.0,-0.0389572158455849,260.0,-0.0089258197695016,260.0,0.0433946624398232,260.0,0.0313009284436703,260.0,0.0162539482116699,260.0,-0.0413790717720985,260.0,-0.0062617301009595,260.0,-0.0279258731752634,260.0,0.113309003412724,260.0,0.120684050023556,260.0,0.106184005737305
270.0,-0.0125742917880416,270.0,-0.0385743156075478,270.0,-0.0140039445832372,270.0,-0.0283477790653706,270.0,-0.0038085938431322,270.0,-0.0204883571714163,270.0,0.0197383891791105,270.0,0.0178555492311716,270.0,0.0023867606651037,270.0,0.0188555717468262,270.0,0.0026210786309093,270.0,-0.0388478301465511,270.0,-0.0085586551576852,270.0,0.0433791168034077,270.0,0.0312931053340435,270.0,0.016605569049716,270.0,-0.0413556098937988,270.0,-0.0062070847488939,270.0,-0.0281836520880461,270.0,0.112996481359005,270.0,0.120574668049812,270.0,0.10584020614624
280.0,-0.0126445768401027,280.0,-0.0386055968701839,280.0,-0.0141211515292525,280.0,-0.0280899051576853,280.0,-0.0037695884238928,280.0,-0.0202461238950491,280.0,0.0200586318969727,280.0,0.0178477298468351,280.0,0.0022851943504065,280.0,0.0184805877506733,280.0,0.0024492263328284,280.0,-0.0385587699711323,280.0,-0.0081913946196436,280.0,0.0433478355407715,280.0,0.0312931053340435,280.0,0.0169258117675781,280.0,-0.0413321517407894,280.0,-0.0061601637862622,280.0,-0.028378963470459,280.0,0.112684063613415,280.0,0.120457462966442,280.0,0.105496503412724
290.0,-0.0126992231234908,290.0,-0.0386525169014931,290.0,-0.0142383575439453,290.0,-0.0278243068605661,290.0,-0.0036913871299475,290.0,-0.0200196262449026,290.0,0.0204024314880371,290.0,0.0178477298468351,290.0,0.0022070885170251,290.0,0.0181133281439543,290.0,0.0022773742675781,290.0,-0.0381055846810341,290.0,-0.0078398706391453,290.0,0.0432930961251259,290.0,0.0313009284436703,290.0,0.0172617919743061,290.0,-0.0413321517407894,290.0,-0.0061288834549486,290.0,-0.0284649860113859,290.0,0.112379364669323,290.0,0.120348073542118,290.0,0.105152703821659
300.0,-0.012753963470459,300.0,-0.0386993400752544,300.0,-0.0143711091950536,300.0,-0.027558708563447,300.0,-0.0036211013793945,300.0,-0.0197930335998535,300.0,0.020746136084199,300.0,0.0178633686155081,300.0,0.0020977021194994,300.0,0.0177539829164743,300.0,0.002082061721012,300.0,-0.0376837737858295,300.0,-0.0075038908980786,300.0,0.0432306304574013,300.0,0.0313243865966797,300.0,0.0175664909183979,300.0,-0.0413087867200375,300.0,-0.0060898782685399,300.0,-0.0285274516791105,300.0,0.112074665725231,300.0,0.120238780975342,300.0,0.104809001088142
310.0,-0.012792969122529,310.0,-0.0387306213378906,310.0,-0.0144961355254054,310.0,-0.0273086559027433,310.0,-0.0035429955460131,310.0,-0.0195664409548044,310.0,0.0210586544126272,310.0,0.0178711898624897,310.0,0.0020117759704589,310.0,0.0173868183046579,310.0,0.0018632889259606,310.0,-0.0372618697583675,310.0,-0.0071680070832371,310.0,0.0431525222957134,310.0,0.0313399322330952,310.0,0.0178790092468262,310.0,-0.0412775054574013,310.0,-0.0060429573059082,310.0,-0.0286602973937988,310.0,0.111777782440186,310.0,0.120129399001598,310.0,0.104473017156124
320.0,-0.0128398900851607,320.0,-0.0387540832161903,320.0,-0.0146289831027389,320.0,-0.0270821582525969,320.0,-0.0034727097954601,320.0,-0.0193399433046579,320.0,0.021332073956728,320.0,0.0178633686155081,320.0,0.0019023895729333,320.0,0.017035199329257,320.0,0.0017070770263671,320.0,-0.0367149375379086,320.0,-0.0068476679734885,320.0,0.0430431365966797,320.0,0.0313477516174316,320.0,0.0181758888065815,320.0,-0.041261862963438,320.0,-0.0060039521194994,320.0,-0.0283867847174406,320.0,0.111496545374393,320.0,0.120027832686901,320.0,0.104129314422607
330.0,-0.0128711704164743,330.0,-0.0387852676212788,330.0,-0.0147617338225245,330.0,-0.0268790256232023,330.0,-0.0033788681030273,330.0,-0.0191289912909269,330.0,0.0214258190244436,330.0,0.0178399085998535,330.0,0.0017930030589923,330.0,0.0166836734861135,330.0,0.0015351296169683,330.0,-0.0363009460270405,330.0,-0.0065351487137377,330.0,0.0429415702819824,330.0,0.0313477516174316,330.0,0.0184727665036917,330.0,-0.0412227623164654,330.0,-0.0059570311568677,330.0,-0.028574276715517,330.0,0.111215308308601,330.0,0.119918443262577,330.0,0.103785514831543
340.0,-0.0129258157685399,340.0,-0.0388321876525879,340.0,-0.014894581399858,340.0,-0.0266758929938078,340.0,-0.0033085823524743,340.0,-0.0189102180302143,340.0,0.0216367729008198,340.0,0.017832089215517,340.0,0.0016836166614666,340.0,0.0163398738950491,340.0,0.0013319969875738,340.0,-0.0358946807682514,340.0,-0.0062304497696459,340.0,0.0428165458142757,340.0,0.0313243865966797,340.0,0.0187618266791105,340.0,-0.041261862963438,340.0,-0.0059102061204612,340.0,-0.0283477790653706,340.0,0.110941790044308,340.0,0.11981687694788,340.0,0.103449635207653
350.0,-0.0130430227145553,350.0,-0.0389337539672852,350.0,-0.0150507930666208,350.0,-0.0264962203800678,350.0,-0.0032695771660655,350.0,-0.0187149047851563,350.0,0.0219962131232023,350.0,0.0178008079528809,350.0,0.0015507697826251,350.0,0.0160039905458689,350.0,0.0011523247230798,350.0,-0.0356602668762207,350.0,-0.0059413909912109,350.0,0.0426681526005268,350.0,0.0313087478280067,350.0,0.0190508849918842,350.0,-0.0411290191113949,350.0,-0.0058711054734885,350.0,-0.0284649860113859,350.0,0.110668376088142,350.0,0.119707487523556,350.0,0.103113651275635
360.0,-0.01318359375,360.0,-0.0390587821602821,360.0,-0.0152070997282863,360.0,-0.0263320934027433,360.0,-0.0032382966019213,360.0,-0.0185352321714163,360.0,0.0225117690861225,360.0,0.0177539829164743,360.0,0.0014570236671716,360.0,0.015683650970459,360.0,0.000894546508789,360.0,-0.0354493148624897,360.0,-0.0056523322127759,360.0,0.0425118468701839,360.0,0.0312931053340435,360.0,0.0193321239203215,360.0,-0.0410821922123432,360.0,-0.0058242799714207,360.0,-0.0277149211615324,360.0,0.110402777791023,360.0,0.119598105549812,360.0,0.102777771651745
370.0,-0.0132305147126317,370.0,-0.0391056053340435,370.0,-0.0153554920107126,370.0,-0.0261524207890034,370.0,-0.0031680108513683,370.0,-0.0183633808046579,370.0,0.0229336749762297,370.0,0.0177305229008198,370.0,0.0013554573524743,370.0,0.0153633123263717,370.0,0.0007851600530557,370.0,-0.0350899696350098,370.0,-0.00537109375,370.0,0.0423478148877621,370.0,0.0312931053340435,370.0,0.0196055416017771,370.0,-0.0410430915653706,370.0,-0.0058008194901049,370.0,-0.0273399353027344,370.0,0.110137179493904,370.0,0.119496539235115,370.0,0.102441787719727
380.0,-0.0132461553439498,380.0,-0.0391368865966797,380.0,-0.0155117986723781,380.0,-0.0259805675595999,380.0,-0.003066444536671,380.0,-0.0181602481752634,380.0,0.0234180446714163,380.0,0.0177070628851652,380.0,0.001253891037777,380.0,0.0150508880615234,380.0,0.0006289482116699,380.0,-0.0348633788526058,380.0,-0.0050976756028831,380.0,0.042168140411377,380.0,0.0312931053340435,380.0,0.0198711398988962,380.0,-0.0409571640193462,380.0,-0.0057538985274732,380.0,-0.0264492984861135,380.0,0.10988712310791,380.0,0.119387149810791,380.0,0.102105908095837
390.0,-0.0133164403960109,390.0,-0.0391758941113949,390.0,-0.0156523715704679,390.0,-0.0258243568241596,390.0,-0.0029570579063147,390.0,-0.017972756177187,390.0,0.0238008499145508,390.0,0.0176993366330862,390.0,0.0011289597023278,390.0,0.0147305494174361,390.0,0.000410175329307,390.0,-0.0346134193241596,390.0,-0.0048477174714207,390.0,0.0419806502759457,390.0,0.0313009284436703,390.0,0.0201290138065815,390.0,-0.0409025214612484,390.0,-0.0057148933410644,390.0,-0.0257383342832327,390.0,0.109629347920418,390.0,0.119277767837048,390.0,0.101769924163818
400.0,-0.0133633613586426,400.0,-0.039222814142704,400.0,-0.0158008579164743,400.0,-0.0256680492311716,400.0,-0.0028867721557617,400.0,-0.0177852641791105,400.0,0.0241992957890034,400.0,0.0176758766174316,400.0,0.0010117531055584,400.0,0.0144414901733398,400.0,0.0002695083676371,400.0,-0.0342930816113949,400.0,-0.0046054841950535,400.0,0.0417931564152241,400.0,0.0313165672123432,400.0,0.0204024314880371,400.0,-0.040855597704649,400.0,-0.0056836130097508,400.0,-0.0256758686155081,400.0,0.109379291534424,400.0,0.11917620152235,400.0,0.101433947682381
410.0,-0.0134180067107081,410.0,-0.0392462722957134,410.0,-0.0159492492675781,410.0,-0.0255196578800678,410.0,-0.0028163909446448,410.0,-0.0175899509340525,410.0,0.0245587360113859,410.0,0.0176758766174316,410.0,0.0009023666498251,410.0,0.014128970913589,410.0,2.73704536084551e-05,410.0,-0.0341212265193462,410.0,-0.0043788910843431,410.0,0.0415822044014931,410.0,0.0313165672123432,410.0,0.0206602104008198,410.0,-0.0408009551465511,410.0,-0.0056601525284349,410.0,-0.025425910949707,410.0,0.109137155115604,410.0,0.119066908955574,410.0,0.10109806060791
420.0,-0.0135195730254054,420.0,-0.0393243804574013,420.0,-0.0161055568605661,420.0,-0.0253868103027344,420.0,-0.0027461051940918,420.0,-0.0174180027097464,420.0,0.0248556137084961,420.0,0.0176524166017771,420.0,0.0007851600530557,420.0,0.0138399126008153,420.0,-6.63757309666835e-05,420.0,-0.0339337363839149,420.0,-0.0041445731185376,420.0,0.0413790717720985,420.0,0.0313165672123432,420.0,0.0211836826056242,420.0,-0.0407618544995785,420.0,-0.0056289671920239,420.0,-0.0249337200075388,420.0,0.108894921839237,420.0,0.118965342640877,420.0,0.100762084126472
