t_s,R75,51,R77,53,R78,55,R80,57,R81,59,R83,61,R92,63,R98,65,R102,67,R103,69,R104,71,R105,73,R106,75,R99,77,R100,79,R101,81,R116,83,R117,85,R118,87,R119,89,R120,91,R121,93,R122,95,R123
270,0.0218362808227539,270,0.0351171493530273,270,-0.0175390243530273,270,0.00371074676513672,270,0.0277738571166992,270,-0.0287895202636719,270,-0.0333986282348633,270,-0.029414176940918,270,0.0544147491455078,270,0.0365238189697266,270,-0.0270700454711914,270,0.0463676452636719,270,0.0339450836181641,270,0.418634414672852,270,0.0117578506469727,270,-7.96092891693115,270,0.0375394821166992,270,-8.7368688583374,270,0.0409765243530273,270,0.0504302978515625,270,0.0162887573242188,270,0.0442581176757812,270,0.0465240478515625,270,0.058476448059082
280,0.0219926834106445,280,0.035038948059082,280,-0.0176172256469727,280,0.00410175323486328,280,0.0277738571166992,280,-0.0287113189697266,280,-0.033320426940918,280,-0.0293359756469727,280,0.0542583465576172,280,0.0364456176757812,280,-0.0269145965576172,280,0.0463676452636719,280,0.0340232849121094,280,0.250118255615234,280,0.0119142532348633,280,-8.00772571563721,280,0.0376176834106445,280,-8.78335380554199,280,0.0410547256469727,280,0.0503520965576172,280,0.0163669586181641,280,0.0439453125,280,0.0465240478515625,280,0.0583209991455078
290,0.0221481323242188,290,0.035038948059082,290,-0.017695426940918,290,0.00441455841064453,290,0.0277738571166992,290,-0.0286331176757812,290,-0.0332422256469727,290,-0.029179573059082,290,0.0541801452636719,290,0.0362892150878906,290,-0.0266799926757812,290,0.0462894439697266,290,0.0341014862060547,290,0.0834770202636719,290,0.0120706558227539,290,-8.05116367340088,290,0.0376958847045898,290,-8.82710361480713,290,0.0410547256469727,290,0.0502738952636719,290,0.0163669586181641,290,0.0436334609985352,290,0.0465240478515625,290,0.0581645965576172
300,0.0222263336181641,300,0.035038948059082,300,-0.0177736282348633,300,0.00472640991210938,300,0.0277738571166992,300,-0.0285549163818359,300,-0.0331640243530273,300,-0.0291013717651367,300,0.0541019439697266,300,0.0362110137939453,300,-0.0264453887939453,300,0.0462894439697266,300,0.0341796875,300,-0.0814456939697266,300,0.0121488571166992,300,-8.09116363525391,300,0.0377740859985352,300,-8.86827564239502,300,0.041132926940918,300,0.0501956939697266,300,0.0164451599121094,300,0.0433988571166992,300,0.0464458465576172,300,0.0580081939697266
310,0.0223827362060547,310,0.035038948059082,310,-0.0178518295288086,310,0.00503921508789062,310,0.0277738571166992,310,-0.0284767150878906,310,-0.033085823059082,310,-0.0290231704711914,310,0.0540237426757812,310,0.0360546112060547,310,-0.0262889862060547,310,0.0462894439697266,310,0.0342578887939453,310,-0.244805335998535,310,0.0123043060302734,310,-8.12741374969482,310,0.0378513336181641,310,-8.90811920166016,310,0.0412111282348633,310,0.0500392913818359,310,0.0165233612060547,310,0.043086051940918,310,0.0464458465576172,310,0.0577735900878906
320,0.0224609375,320,0.035038948059082,320,-0.0179300308227539,320,0.00527381896972656,320,0.0277738571166992,320,-0.0283985137939453,320,-0.0330076217651367,320,-0.0289449691772461,320,0.0539455413818359,320,0.0359764099121094,320,-0.0261325836181641,320,0.0462112426757812,320,0.0342578887939453,320,-0.406134605407715,320,0.0124607086181641,320,-8.16077327728271,320,0.0378513336181641,320,-8.94515132904053,320,0.0412893295288086,320,0.0499610900878906,320,0.0165233612060547,320,0.0427732467651367,320,0.0464458465576172,320,0.0576171875
330,0.0225391387939453,330,0.035038948059082,330,-0.0180082321166992,330,0.00550746917724609,330,0.0277738571166992,330,-0.0283203125,330,-0.0329294204711914,330,-0.0287895202636719,330,0.0537891387939453,330,0.0358209609985352,330,-0.0259761810302734,330,0.0462112426757812,330,0.0343360900878906,330,-0.565353393554688,330,0.0125389099121094,330,-8.19171047210693,330,0.0379295349121094,330,-8.97999477386475,330,0.0412893295288086,330,0.0498046875,330,0.0166015625,330,0.0425395965576172,330,0.0464458465576172,330,0.0574607849121094
340,0.0226173400878906,340,0.035038948059082,340,-0.0180864334106445,340,0.00582027435302734,340,0.0277738571166992,340,-0.0282421112060547,340,-0.0328512191772461,340,-0.0287113189697266,340,0.0537109375,340,0.0356645584106445,340,-0.0257425308227539,340,0.0461330413818359,340,0.0344142913818359,340,-0.722854614257812,340,0.0126953125,340,-8.2209300994873,340,0.0380077362060547,340,-9.01272964477539,340,0.0413675308227539,340,0.0497264862060547,340,0.0166015625,340,0.0422267913818359,340,0.0463676452636719,340,0.0572271347045898
350,0.0226955413818359,350,0.035038948059082,350,-0.0181636810302734,350,0.00605487823486328,350,0.0277738571166992,350,-0.0281639099121094,350,-0.0327739715576172,350,-0.0286331176757812,350,0.0536327362060547,350,0.0355863571166992,350,-0.0255861282348633,350,0.0461330413818359,350,0.0344924926757812,350,-0.878323554992676,350,0.0127735137939453,350,-8.2470235824585,350,0.0380077362060547,350,-9.04421424865723,350,0.0413675308227539,350,0.0495700836181641,350,0.0166797637939453,350,0.0419921875,350,0.0463676452636719,350,0.0570707321166992
360,0.0227737426757812,360,0.035038948059082,360,-0.0182418823242188,360,0.00628948211669922,360,0.0277738571166992,360,-0.0280857086181641,360,-0.0326957702636719,360,-0.0285549163818359,360,0.0535545349121094,360,0.0354299545288086,360,-0.0254297256469727,360,0.0461330413818359,360,0.0344924926757812,360,-1.03168392181396,360,0.0129299163818359,360,-8.2704610824585,360,0.0380859375,360,-9.07335472106934,360,0.0414457321166992,360,0.0494928359985352,360,0.0167579650878906,360,0.0416803359985352,360,0.0463676452636719,360,0.0568361282348633
