t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R79,R80,R81,R82,R92.1,R93.1,R94.1,R95.1,R96.1,R97.1,R98.1,R83.1,R84.1,R85.1,R86.1,R87.1,R88.1,R89.1,R90.1,R75.1,R76.1,R77.1,R78.1,R79.1,R80.1,R81.1,R82.1
100,0.0369333438575268,-0.0191989038139582,0.0224387552589178,0.0164856053888798,-0.0539185591042042,-0.00829651858657598,-0.00992620456963778,-0.000669927569106221,0.0158840455114841,-0.0436482131481171,0.0115293404087424,-0.0492537021636963,-0.0246504824608564,-0.0447193086147308,-0.00822385773062706,0.015260600484907601,0.010582465678453399,-0.000116796487418469,0.028297375887632398,0.0296989437192678,0.02944659255445,0.00465509388595819,0.029420031234622,0.0255231466144323,0.10898513160646,0.11301331035792801,0.11667739227414099,-9.41343605518341e-05,0.0599966729059815,0.110124993138015,0.116873486666009,0.128630574792624,0.114785984158516,0.12157276924699499,0.0656412616372108,0.072642894461751,0.0670819357037544,0.11267114803195,0.07187404576689001,0.13282902166247398,0.12244227409974,0.120075080543756,0.12853136472404,0.129146186634898,0.113339059986174,0.12349457107484299,0.131230605766177
105,0.036945845931768403,-0.019138745963573497,0.0225153155624866,0.0164926424622536,-0.0540599711239338,-0.0083965202793479,-0.00991292949765921,-0.000615234370343387,0.0158856101334095,-0.0434989929199219,0.011752776801586201,-0.0489865131676197,-0.0246278289705515,-0.0446177460253239,-0.00812229141592979,0.0153246689587831,0.0106887146830559,-4.72640967927873e-05,0.0283309649676085,0.0296919047832489,0.029465351253747902,0.00470744119957089,0.029511442407965698,0.0255700200796127,0.109045289456844,0.113089870661497,0.11668442934751501,-0.000235546380281448,0.0598966712132096,0.11013826820999399,0.11692817986477201,0.12863213941454898,0.11493520438671101,0.121796205639839,0.0659084506332874,0.0726655479520559,0.0671834982931614,0.11277271434664701,0.0719381142407656,0.132935270667076,0.122511806490365,0.120108669623733,0.128524325788021,0.129164945334196,0.113391407299787,0.123585982248187,0.131277479231358
110,0.0369778722524643,-0.019066866487264602,0.0225989148020744,0.016498889774084098,-0.0544982515275478,-0.00863011367619038,-0.00989183411002159,-0.00055976863950491,0.0158684160560369,-0.0433435253798962,0.0119629381224513,-0.048731822520494496,-0.0244223587214947,-0.044415403157472604,-0.00802151672542095,0.0153895085677505,0.0107785603031516,1.83582305908203e-05,0.0283637810498476,0.0296739377081394,0.0294708143919706,0.00475353235378861,0.029588785022497198,0.0256098639219999,0.109117168933153,0.113173469901085,0.116690676659346,-0.000673826783895493,0.0596630778163671,0.110159363597631,0.11698364559561,0.12861494533717602,0.115090671926737,0.122006366960704,0.0661631412804127,0.0728710182011127,0.06738584116101261,0.11287348903715601,0.0720029538497329,0.133025116287172,0.122577428817749,0.120141485705972,0.128506358712912,0.129170408472419,0.113437498454005,0.123663324862719,0.131317323073745
115,0.037016935646534,-0.018994215875864,0.0226934421807528,0.016510609537363097,-0.0543365329504013,-0.00888245552778244,-0.00987464841455221,-0.000509767502080649,0.0158676430583,-0.0431997701525688,0.012178563512861701,-0.0484747923910618,-0.0243434514850378,-0.0442450903356075,-0.00792386010289192,0.0154520124197006,0.0108621502295136,7.92980208643712e-05,0.0283856578171253,0.0296544060111046,0.0294778440147638,0.00480118719860911,0.029665345326066,0.0256559550762177,0.10918981954455399,0.113267997279763,0.116702396422625,-0.000512108206748962,0.0594107359647751,0.110176549293101,0.117033646733034,0.128614172339439,0.115234427154064,0.122221992351115,0.0664201714098454,0.0729499254375696,0.0675561539828777,0.11297114565968501,0.072065457701683,0.133108706213534,0.122638368608023,0.12016336247324899,0.128486827015877,0.129177438095212,0.113485153298825,0.12373988516628699,0.13136341422796202
120,0.0370427221059799,-0.0189254656434059,0.022773914039135,0.0165192019194365,-0.054702162742614704,-0.00901604630053043,-0.00986058171838522,-0.000468358979560435,0.0158645156770945,-0.0430536791682243,0.012388715520501099,-0.0482052601873875,-0.024139542132616,-0.0440896153450012,-0.00782776810228825,0.015505132265388999,0.0109473038464785,0.000147266386193223,0.0284020602703094,0.0296301934868097,0.0294864363968372,0.00484650582075119,0.0297372248023748,0.0257215779274702,0.109258569777012,0.113348469138145,0.116710988804698,-0.000877737998962402,0.0592771451920271,0.11019061598926799,0.117075055255555,0.128611044958234,0.11538051813840901,0.122432144358754,0.0666897036135197,0.07315383478999139,0.067711628973484,0.11306723766028899,0.0721185775473714,0.133193859830499,0.122706336973351,0.12017976492643401,0.128462614491582,0.129186030477285,0.113530471920967,0.12381176464259601,0.131429037079215
125,0.0370755270123482,-0.0188590530306101,0.0228496920317411,0.0165270138531923,-0.0549271628260612,-0.009220733307302,-0.00985355395823717,-0.00042695045704022,0.01583013497293,-0.0429130531847477,0.012587938457727401,-0.0479466654360294,-0.023996576666831998,-0.0439216494560242,-0.0077387043274939095,0.015541858039796401,0.011017617769539401,0.000209770194487646,0.028421591967344298,0.029612997546792,0.0294801890850067,0.0048847864381969,0.0297966003417969,0.0257879924029112,0.109324982389808,0.113424247130752,0.11671880073845399,-0.00110273808240891,0.0590724581852555,0.110197643749416,0.117116463778075,0.128576664254069,0.115521144121885,0.12263136729598,0.0669482983648777,0.0732968002557755,0.0678795948624611,0.113156301435083,0.0721553033217788,0.13326417375355998,0.122768840781646,0.120199296623468,0.128445418551564,0.129179783165455,0.11356875253841299,0.123871140182018,0.131495451554656
130,0.0370786562561989,-0.0188012402504683,0.02292157150805,0.016533268615603402,-0.0553685687482357,-0.00946604739874601,-0.00983558595180511,-0.000380077341105789,0.0158129502087831,-0.0427693016827106,0.012771530076861399,-0.0476865097880363,-0.023880949243903198,-0.043745867908000904,-0.00764651270583272,0.0155832665041089,0.0110871503129601,0.000271482451353222,0.0284395590424538,0.0295762810856104,0.0294942557811737,0.00492463121190667,0.029863003641367,0.0258473679423332,0.10938279516995,0.11349612660706,0.116725055500865,-0.00154414400458336,0.0588271440938115,0.110215611755848,0.11716333689400901,0.128559479489923,0.115664895623922,0.122814958915114,0.0672084540128708,0.0734124276787043,0.0680553764104843,0.11324849305674399,0.0721967117860913,0.13333370629698002,0.122830553038511,0.12021726369857799,0.128408702090383,0.129193849861622,0.113608597312123,0.12393754348158799,0.131554827094078
135,0.037069283425808,-0.0187379643321037,0.0229942314326763,0.0165387336164713,-0.055559977889061,-0.0097269918769598,-0.00983402226120234,-0.00034727095044218,0.0157879535108805,-0.0426325835287571,0.012934035621583502,-0.0474575981497765,-0.0237543862313032,-0.0435880571603775,-0.00756292324513197,0.015598106198012801,0.011152772232890101,0.000333204254275188,0.0284622181206942,0.0295590963214636,0.029496593400836,0.00496447551995516,0.0299278441816568,0.0259067434817553,0.109446071088314,0.11356878653168699,0.11673052050173299,-0.00173555314540863,0.0585661996155977,0.11021717544645099,0.117196143284673,0.12853448279201998,0.115801613777876,0.122977464459836,0.0674373656511307,0.0735389906913042,0.0682131871581078,0.113332082517445,0.07221155147999529,0.13339932821691,0.12289227484143299,0.12023992277681801,0.128391517326236,0.129196187481284,0.113648441620171,0.124002384021878,0.13161420263350002
140,0.0370770916342735,-0.0186785887926817,0.0230676643550396,0.0165410805493593,-0.0560451336205006,-0.00943792331963778,-0.00983715057373047,-0.000314455013722181,0.0157496742904186,-0.042498204857111,0.013094968162477,-0.0472333803772926,-0.0236606355756521,-0.0434458665549755,-0.00748323416337371,0.0156293585896492,0.0112090297043324,0.000391798006603494,0.028480967506766302,0.029538001865148503,0.0294919107109308,0.00499806413426995,0.0299801919609308,0.0259723663330078,0.10950544662773601,0.11364221945405,0.116732867434621,-0.00222070887684822,0.0588552681729198,0.11021404713392301,0.117228959221393,0.128496203571558,0.115935992449522,0.12313839700073,0.0676615834236145,0.0736327413469553,0.06835537776350979,0.113411771599203,0.0722428038716316,0.133455585688353,0.122950868593762,0.12025867216288999,0.12837042286992098,0.129191504791379,0.113682030234486,0.12405473180115201,0.131679825484753
145,0.0370724089443684,-0.0186192132532597,0.023133287206292198,0.0165473259985447,-0.0565724782645702,-0.00943870563060045,-0.00982621125876904,-0.000283203116850927,0.0157160758972168,-0.0423677377402782,0.013256692327559,-0.0469997860491276,-0.0236809495836496,-0.0434193015098572,-0.00740666361525655,0.0156473256647587,0.011266059242188901,0.000449609739007428,0.028496589511632902,0.0295153427869081,0.0294950380921364,0.00503400806337595,0.0300387851893902,0.0260293949395418,0.109564822167158,0.11370784230530301,0.116739112883806,-0.00274805352091789,0.0588544858619571,0.110224986448884,0.117260211118264,0.128462605178356,0.11606645956635499,0.123300121165812,0.0678951777517796,0.0736124273389578,0.0683819428086281,0.11348834214732101,0.0722607709467411,0.133512615226209,0.123008680326166,0.120274294167757,0.12834776379168,0.12919463217258498,0.113717974163592,0.124113325029612,0.131736854091287
