sensor,step,time_start,time_end,mean,median,last,min,max,range,std,var,max_slope,min_slope,mean_slope,drift,mad,mead,rms,auc,file
R80,4,1.4222222222222223,1.9652777777777777,-0.02884091406452409,-0.0286331176757812,-0.0858983993530273,-0.0858983993530273,-0.0253515243530273,0.060546875,0.002905284694471725,8.440679155931665e-06,0.6468200683593501,-41.34361267089857,-0.16666918384785617,-0.060546875,0.00043069922839637646,7.820129394530209e-05,0.028986876396624648,-0.01562501854366724,3_02-10-2026_OCP_Calibration_CaCl2.csv
R80,5,1.9666666666666666,2.4833333333333334,-0.07498592857381293,-0.0745706558227539,-0.0734767913818359,-0.0844926834106445,-0.0734767913818359,0.011015892028808608,0.0015314877227381167,2.3454546448975826e-06,0.8438873291015855,-7.105427357601002e-15,0.022395136528935187,0.011015892028808608,0.0010651382109481185,0.0007028579711913924,0.07500156624179173,-0.03873717586199443,3_02-10-2026_OCP_Calibration_CaCl2.csv
R80,6,2.484722222222222,3.0069444444444446,-0.1063164228509211,-0.106601715087891,-0.1043367385864259,-0.107382774353027,-0.102080464363098,0.005302309989928991,0.0010142725006382367,1.0287487055509417e-06,3.4805202484127316,-1.7684125900274168,0.009539158970348807,0.0025777816772460938,0.000892431105435907,0.0007038116455069937,0.10632126088662328,-0.055521758035239205,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,1,0.0,0.5305555555555556,0.021799507062133232,0.0218362808227539,0.021601676940918,0.021601676940918,0.0219926834106445,0.00039100646972650005,0.00011576261604757007,1.3400983274177129e-08,0.0334471464157679,-0.028152465820308947,-0.0004930817582897789,-0.0002855192869900998,0.00010382064851346951,7.820129394530209e-05,0.02179981442891822,0.011565926066961968,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,2,0.5319444444444444,0.8986111111111111,0.028536393507471634,0.0301170349121094,0.0301170349121094,0.0084762573242187,0.0302734375,0.0217971801757813,0.0034348283823526105,1.1798046016215052e-05,1.7437362670898708,-9.45030212402353,0.00530530821602265,0.0085153579711914,0.002226519124624191,7.820129394530209e-05,0.028742369429632698,0.010467062393824264,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,3,0.9,1.4208333333333334,0.016559255884048777,0.0171489715576172,0.017695426940918,0.001601219177246,0.017695426940918,0.016094207763672,0.0019725428116304316,3.890925143714889e-06,2.137527465820351,-0.028152465820308947,0.033661152454133085,0.016094207763672,0.0011298806487083884,0.00023365020751950002,0.016676326951014092,0.008634210957421194,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,4,1.4222222222222223,1.9652777777777777,-0.02968125197352195,-0.0295705795288086,-0.0893363952636719,-0.0893363952636719,-0.025273323059082,0.0640630722045899,0.0030619195937503455,9.375351598592281e-06,0.14076232910154118,-42.750549316406385,-0.17269835180165885,-0.0640630722045899,0.0004207659567062663,0.00015640258789060071,0.029838767908784248,-0.01608020265897114,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,5,1.9666666666666666,2.4833333333333334,-0.09170836737584173,-0.091914176940918,-0.0919923782348633,-0.0919923782348633,-0.0890235900878906,0.002968788146972698,0.0005309189152291172,2.8187489454806254e-07,0.05630493164061521,-0.08445739746095882,-0.005504209298551087,-0.0028905868530273993,0.0003264029844180159,7.820129394529862e-05,0.091709904163274,-0.0473842693699731,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,6,2.484722222222222,3.0069444444444446,-0.1403008029062489,-0.140508651733398,-0.140742301940918,-0.140742301940918,-0.102080464363098,0.03866183757781999,0.001994005107302052,3.976056367946667e-06,27.44307518004938,-13.524813652042873,0.035353023114145045,-0.0005464553833010033,0.00038822356199653155,0.0001554489135749959,0.14031497194706646,-0.07326796336306475,3_02-10-2026_OCP_Calibration_CaCl2.csv
R81,7,3.0083333333333333,3.536111111111111,-0.16163711597913202,-0.161211967468262,-0.160273551940918,-0.164024353027344,-0.160273551940918,0.0037508010864260033,0.0012651510261070637,1.600607118859756e-06,0.1689147949216121,-0.08445739746099434,0.007162019023746236,0.0037508010864260033,0.0011237352712199851,0.0008602142333989926,0.1616420671396225,-0.0853077669938405,3_02-10-2026_OCP_Calibration_CaCl2.csv
R83,1,0.0,0.5305555555555556,-0.044780603199030024,-0.044804573059082,-0.0441799163818359,-0.0455450937151909,-0.0441799163818359,0.0013651773333549985,0.0003550401615831559,1.2605351633699348e-07,0.06952017545701139,-0.02815246582034092,0.0026196288066496157,0.0013651773333549985,0.00030874201943741883,0.0003118515014647952,0.04478201063357154,-0.023758484055805534,3_02-10-2026_OCP_Calibration_CaCl2.csv
R83,2,0.5319444444444444,0.8986111111111111,-0.030568417962991968,-0.0297269821166992,-0.029414176940918,-0.0441799163818359,-0.029414176940918,0.014765739440917903,0.002123366034125044,4.5086833148759176e-06,1.4344024658203125,-0.02815246582030717,0.0407556497825764,0.014765739440917903,0.001257139011055771,0.0002346038818359028,0.03064207662798078,-0.011199769046571521,3_02-10-2026_OCP_Calibration_CaCl2.csv
R83,3,0.9,1.4208333333333334,-0.04761335697579891,-0.0469532012939453,-0.0455856323242188,-0.062382698059082,-0.0455856323242188,0.016797065734863198,0.0023433041144977343,5.491074173022011e-06,1.5188598632812353,-3.552713678800501e-15,0.03418435441686736,0.016797065734863198,0.001513056001710699,0.0008201599121093958,0.04767098527068515,-0.024789775080151028,3_02-10-2026_OCP_Calibration_CaCl2.csv
R83,4,1.4222222222222223,1.9652777777777777,-0.09445543191870864,-0.09421920776367185,-0.142695426940918,-0.142695426940918,-0.0918359756469727,0.0508594512939453,0.0028406606884204162,8.069353146737153e-06,0.39379119873047586,-36.618804931640746,-0.130363678445622,-0.0452337265014649,0.0012853086019545396,0.0009765624999999445,0.09449813740014425,-0.05125895937283832,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,1,0.0,0.5305555555555556,0.0208480985344001,0.0208988189697266,0.0202732086181641,0.0202732086181641,0.0212305076420307,0.0009572990238665979,0.0002946668511535857,8.682855316876944e-08,0.035130232572550546,-0.028152465820343586,-0.0016620364186034616,-0.0009085070341825,0.0002566542241529614,0.00023365020751950002,0.02085018083982065,0.011061242050749976,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,2,0.5319444444444444,0.8986111111111111,0.032387035297897625,0.0327739715576172,0.0317583084106445,0.0202732086181641,0.0332422256469727,0.012969017028808597,0.0014969799403529637,2.240948941819163e-06,1.5188598632812358,-0.028152465820344474,0.03364692544037412,0.011485099792480396,0.0007794356218815355,0.00039100646972660413,0.03242161322835565,0.011884095271428426,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,3,0.9,1.4208333333333334,0.01495438180071242,0.0156641006469727,0.0167579650878906,-0.0003519058227539,0.0167579650878906,0.0171098709106445,0.0022718779465803573,5.1614294041581815e-06,1.8566894531249347,-8.881784197001252e-16,0.035232584527198255,0.0171098709106445,0.0014293105314089885,0.0007028579711915017,0.015125969867933658,0.007798117399215697,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,4,1.4222222222222223,1.9652777777777777,-0.031963951733647564,-0.0317583084106445,-0.088007926940918,-0.088007926940918,-0.0312891006469727,0.0567188262939453,0.002867366091441682,8.221788302349548e-06,0.42194366455079013,-40.83755493164076,-0.15074146037199118,-0.053828239440917997,0.0004829369401594233,0.0003118515014649062,0.032092304353743446,-0.017317743433846365,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,5,1.9666666666666666,2.4833333333333334,-0.07842030921506499,-0.078242301940918,-0.078007698059082,-0.0866804122924805,-0.078007698059082,0.008672714233398493,0.0009946470870557307,9.893228277884504e-07,0.6749725341797299,-0.028152465820358685,0.017645685027175836,0.008672714233398493,0.0004176040775648383,7.820129394529862e-05,0.07842661678419002,-0.040511710113949266,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,6,2.484722222222222,3.0069444444444446,-0.12393645311777415,-0.124101638793945,-0.1240234375,-0.124179840087891,-0.102080464363098,0.022099375724792994,0.0011586432084729743,1.3424540845405482e-06,15.292882919309523,-7.590136528017673,0.018940009868404967,-0.0007028579711910038,0.0002847047174154548,7.820129394600639e-05,0.12394186889626431,-0.06472273724567566,3_02-10-2026_OCP_Calibration_CaCl2.csv
R92,7,3.0083333333333333,3.536111111111111,-0.1466095190974357,-0.146368026733398,-0.146836280822754,-0.151289939880371,-0.146055221557617,0.005234718322754017,0.0008950701668777884,8.011506036346318e-07,0.16891479492193895,-0.05630493164039638,0.00819469061423499,0.004375457763672014,0.0005239608274491844,0.000234603881835993,0.14661225133182082,-0.07737389273113666,3_02-10-2026_OCP_Calibration_CaCl2.csv
R98,1,0.0,0.5305555555555556,0.014603192524075046,0.0146484375,0.0144138336181641,0.0144138336181641,0.0147266387939453,0.0003128051757811997,8.728009695491605e-05,7.617815324459545e-09,0.028152465820308947,-0.028152465820308947,-0.0003247022356438997,-0.00019207876175639932,7.413231015786531e-05,7.820129394530036e-05,0.014603453348798217,0.007747934532946807,3_02-10-2026_OCP_Calibration_CaCl2.csv
R98,2,0.5319444444444444,0.8986111111111111,0.028806654012428132,0.0287113189697266,0.0276956558227539,0.0119924545288086,0.0308990478515625,0.0189065933227539,0.0017176909602717335,2.9504622349992295e-06,4.752960205078132,-1.7433929443359661,0.032797039679761206,0.013281822204589799,0.0008574499426977872,0.0005474090576172014,0.028857820042871244,0.010573206345240276,3_02-10-2026_OCP_Calibration_CaCl2.csv
R98,3,0.9,1.4208333333333334,0.008940455761361581,0.0091800689697265,0.0095701217651367,-0.0202732086181641,0.0095701217651367,0.029843330383300802,0.0019216621439861288,3.6927853956293655e-06,9.337005615234489,-0.028152465820310724,0.06956303373296246,0.029843330383300802,0.0005408972569211298,0.00023365020751950002,0.009144645133436992,0.004676337374581207,3_02-10-2026_OCP_Calibration_CaCl2.csv
R98,4,1.4222222222222223,1.9652777777777777,-0.04241586461359141,-0.0421485900878906,-0.109726905822754,-0.109726905822754,-0.0408201217651367,0.0689067840576173,0.003458096810250911,1.1958433549067525e-05,1.940803527832026,-48.31924438476586,-0.1824541481173778,-0.0654687881469728,0.000521903048451381,0.00015640258789060418,0.0425565976608514,-0.02298614780108133,3_02-10-2026_OCP_Calibration_CaCl2.csv
