t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
11525,,-0.107149124145508,,-0.0893363952636719,,-0.0887889862060547,-0.101133346557617,-0.0965242385864258,-0.152227401733398,-0.125117301940918,-0.12558650970459,-0.0967578887939453,-0.0742578506469727,-0.0664453506469727,-0.111289024353027,-0.126992225646973,-0.136445999145508,-0.1298828125,-0.156914710998535,-0.165664672851562,-0.0995702743530273,-0.15113353729248,-0.136133193969727
11530,,-0.107149124145508,,-0.0892581939697266,,-0.0887889862060547,-0.101133346557617,-0.0965242385864258,-0.152305603027344,-0.125117301940918,-0.125664710998535,-0.0968360900878906,-0.0741796493530273,-0.0664453506469727,-0.111289024353027,-0.127070426940918,-0.136445999145508,-0.1298828125,-0.156914710998535,-0.165664672851562,-0.0995702743530273,-0.15113353729248,-0.136211395263672
11535,,-0.107149124145508,,-0.0891799926757812,,-0.0887107849121094,-0.101055145263672,-0.0965242385864258,-0.152305603027344,-0.125039100646973,-0.125664710998535,-0.0968360900878906,-0.074101448059082,-0.0663671493530273,-0.111289024353027,-0.127070426940918,-0.136445999145508,-0.1298828125,-0.156914710998535,-0.165586471557617,-0.0996484756469727,-0.15113353729248,-0.136211395263672
11540,,-0.107149124145508,,-0.0891017913818359,,-0.0887107849121094,-0.101055145263672,-0.0965242385864258,-0.152383804321289,-0.125039100646973,-0.12574291229248,-0.0969142913818359,-0.0740232467651367,-0.066288948059082,-0.111289024353027,-0.127148628234863,-0.136445999145508,-0.129805564880371,-0.156914710998535,-0.165586471557617,-0.0996484756469727,-0.15113353729248,-0.136211395263672
11545,,-0.107149124145508,,-0.0891017913818359,,-0.0887107849121094,-0.101055145263672,-0.0965242385864258,-0.152383804321289,-0.124960899353027,-0.12574291229248,-0.0969142913818359,-0.0740232467651367,-0.066288948059082,-0.111211776733398,-0.127148628234863,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165586471557617,-0.099726676940918,-0.15113353729248,-0.136211395263672
11550,,-0.107149124145508,,-0.0890235900878906,,-0.0886335372924805,-0.101055145263672,-0.0964460372924805,-0.152461051940918,-0.124960899353027,-0.125821113586426,-0.0969924926757812,-0.0739459991455078,-0.0662107467651367,-0.111211776733398,-0.127148628234863,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165508270263672,-0.099726676940918,-0.15113353729248,-0.136211395263672
11555,,-0.107149124145508,,-0.0889453887939453,,-0.0886335372924805,-0.100976943969727,-0.0964460372924805,-0.152539253234863,-0.124960899353027,-0.125899314880371,-0.0970706939697266,-0.0738677978515625,-0.0662107467651367,-0.111211776733398,-0.127226829528809,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165508270263672,-0.0998048782348633,-0.15113353729248,-0.136211395263672
11560,,-0.107070922851562,,-0.0889453887939453,,-0.0886335372924805,-0.100976943969727,-0.0964460372924805,-0.152539253234863,-0.124883651733398,-0.125899314880371,-0.0970706939697266,-0.0738677978515625,-0.0661334991455078,-0.111211776733398,-0.127226829528809,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165508270263672,-0.0998830795288086,-0.15113353729248,-0.136211395263672
11565,,-0.107070922851562,,-0.0888671875,,-0.0886335372924805,-0.100976943969727,-0.0964460372924805,-0.152617454528809,-0.124883651733398,-0.1259765625,-0.0971488952636719,-0.0737895965576172,-0.0660552978515625,-0.111211776733398,-0.127226829528809,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165430068969727,-0.0998830795288086,-0.15113353729248,-0.136211395263672
11570,,-0.107070922851562,,-0.0887889862060547,,-0.0886335372924805,-0.100976943969727,-0.0964460372924805,-0.152617454528809,-0.124883651733398,-0.126054763793945,-0.0972270965576172,-0.0737113952636719,-0.0660552978515625,-0.111211776733398,-0.127305030822754,-0.136367797851562,-0.129805564880371,-0.15683650970459,-0.165430068969727,-0.0999612808227539,-0.15113353729248,-0.136289596557617
