t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R116,R117,R118,R119,R120,R121,R122,R123
3275,-0.0119924545288086,,,0.0101957321166992,0.0094919204711914,-0.0555076599121094,0.0073051452636718,0.0068359375,0.0092582702636718,-0.0034761428833007,-0.0055856704711914,-0.0140237808227539,-0.0180082321166992,0.0161333084106445,-0.0086326599121093,-0.0183200836181641,-0.0056638717651367,0.0151176452636719,-0.0216798782348633,-0.066523551940918,-0.0328512191772461
3280,-0.011601448059082,,,0.0105075836181641,0.0098829269409179,-0.0551176071166992,0.007695198059082,0.0071487426757812,0.009413719177246,-0.0031642913818359,-0.0053520202636718,-0.0138673782348633,-0.0177736282348633,0.0161333084106445,-0.0086326599121093,-0.0182418823242188,-0.0056638717651367,0.0151176452636719,-0.0216798782348633,-0.066523551940918,-0.0327739715576172
3285,-0.0111331939697266,,,0.0108203887939453,0.0102739334106445,-0.0548048019409179,0.0080080032348632,0.0073833465576171,0.0095701217651367,-0.0029296875,-0.0051174163818359,-0.0136327743530272,-0.0176172256469726,0.0161333084106445,-0.008554458618164,-0.0182418823242188,-0.0056638717651367,0.0151176452636719,-0.0216798782348633,-0.066523551940918,-0.0326957702636719
3290,-0.0107421875,,,0.0111331939697266,0.0105075836181641,-0.0544919967651367,0.0083208084106445,0.0076169967651367,0.0097265243530273,-0.0026168823242187,-0.0049610137939453,-0.0134763717651367,-0.0173826217651367,0.0161333084106445,-0.008554458618164,-0.0181636810302734,-0.0056638717651367,0.0151958465576172,-0.021601676940918,-0.0664453506469727,-0.0326957702636719
3295,-0.0103511810302734,,,0.0113668441772461,0.0108203887939453,-0.0542583465576172,0.0086326599121093,0.007695198059082,0.0098829269409179,-0.0023832321166992,-0.0047264099121093,-0.0132417678833008,-0.0172262191772461,0.0162115097045898,-0.0084762573242187,-0.0181636810302734,-0.0055856704711914,0.0151958465576172,-0.021601676940918,-0.0664453506469727,-0.0326175689697266
3300,-0.0100393295288086,,,0.0115232467651367,0.0110549926757812,-0.0539455413818359,0.0088672637939453,0.0078516006469726,0.0100393295288086,-0.0022268295288085,-0.0045700073242187,-0.0131645202636719,-0.0170707702636719,0.0162115097045898,-0.0084762573242187,-0.0180864334106445,-0.0055856704711914,0.0151958465576172,-0.021601676940918,-0.0664453506469727,-0.0325393676757812
3305,-0.0097265243530273,,,0.0117578506469727,0.0112895965576172,-0.0537109375,0.0091018676757812,0.0079298019409179,0.0101175308227539,-0.0019922256469726,-0.0044136047363281,-0.0130081176757812,-0.0169143676757812,0.0162115097045898,-0.0083980560302734,-0.0180864334106445,-0.0055856704711914,0.0152730941772461,-0.021601676940918,-0.0663671493530273,-0.0325393676757812
3310,-0.009413719177246,,,0.0119924545288086,0.0115232467651367,-0.0534763336181641,0.0093364715576171,0.0079298019409179,0.0102739334106445,-0.001835823059082,-0.0041799545288085,-0.0128517150878906,-0.0168361663818359,0.0162115097045898,-0.0083980560302734,-0.0180082321166992,-0.0055856704711914,0.0152730941772461,-0.021601676940918,-0.0663671493530273,-0.0324611663818359
3315,-0.0091018676757812,,,0.0121488571166992,0.0117578506469727,-0.0532426834106445,0.0095701217651367,0.0080080032348632,0.0103511810302734,-0.001601219177246,-0.0040235519409179,-0.0126953125,-0.0166797637939453,0.0162115097045898,-0.0083198547363281,-0.0180082321166992,-0.0055856704711914,0.0152730941772461,-0.021601676940918,-0.0663671493530273,-0.0323829650878906
3320,-0.0088672637939453,,,0.0123825073242188,0.0119924545288086,-0.0530080795288086,0.0097265243530273,0.0080862045288085,0.0105075836181641,-0.0014448165893554,-0.0038671493530273,-0.0125389099121094,-0.0165233612060547,0.0162115097045898,-0.0082426071166992,-0.0179300308227539,-0.0055856704711914,0.0152730941772461,-0.021601676940918,-0.066288948059082,-0.0323829650878906
3325,-0.008554458618164,,,0.0125389099121094,0.0121488571166992,-0.0528516769409179,0.0099611282348632,0.0080862045288085,0.0105857849121094,-0.0012893676757812,-0.0037107467651367,-0.0124607086181641,-0.0163669586181641,0.0161333084106445,-0.0082426071166992,-0.0179300308227539,-0.0055856704711914,0.0152730941772461,-0.021601676940918,-0.066288948059082,-0.0323047637939453
3330,-0.0083198547363281,,,0.0127735137939453,0.0123043060302734,-0.052617073059082,0.0101957321166992,0.0081644058227539,0.0107421875,-0.0010547637939453,-0.003554344177246,-0.0123043060302734,-0.0162887573242188,0.0161333084106445,-0.0081644058227539,-0.0179300308227539,-0.0055856704711914,0.0153512954711914,-0.021601676940918,-0.066288948059082,-0.0323047637939453
3335,-0.0080862045288085,,,0.0129299163818359,0.0124607086181641,-0.0524606704711914,0.0103511810302734,0.0081644058227539,0.0108203887939453,-0.0008983612060546,-0.0033979415893554,-0.0122261047363281,-0.0161333084106445,0.0161333084106445,-0.0080862045288085,-0.0179300308227539,-0.0055856704711914,0.0153512954711914,-0.021601676940918,-0.0662107467651367,-0.0322265625
3340,-0.0078516006469726,,,0.0130863189697266,0.0126171112060547,-0.0522270202636719,0.0105075836181641,0.0082426071166992,0.0108985900878906,-0.000741958618164,-0.0032424926757812,-0.0120706558227539,-0.0159769058227539,0.0161333084106445,-0.0080862045288085,-0.0178518295288086,-0.0055856704711914,0.0153512954711914,-0.0215234756469726,-0.0662107467651367,-0.0322265625
3345,-0.007695198059082,,,0.0132427215576172,0.0127735137939453,-0.0520706176757812,0.0106639862060547,0.0082426071166992,0.0109767913818359,-0.0005855560302734,-0.0031642913818359,-0.0119924545288086,-0.0158987045288086,0.0161333084106445,-0.0080080032348632,-0.0178518295288086,-0.005507469177246,0.0153512954711914,-0.0215234756469726,-0.0662107467651367,-0.0321483612060547
3350,-0.007460594177246,,,0.0133981704711914,0.0129299163818359,-0.0519142150878906,0.0108203887939453,0.0083208084106445,0.0110549926757812,-0.0005073547363281,-0.0030078887939453,-0.0119142532348633,-0.0158205032348633,0.0161333084106445,-0.0079298019409179,-0.0178518295288086,-0.005507469177246,0.0153512954711914,-0.0215234756469726,-0.0662107467651367,-0.0321483612060547
