t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
290,0.0221481323242188,0.035038948059082,,,0.0277738571166992,,,,,,,0.0462894439697266,0.0341014862060547,,0.0120706558227539,,,,,0.0502738952636719,0.0163669586181641,,0.0465240478515625,
300,0.0222263336181641,0.035038948059082,,,0.0277738571166992,,,,,,,0.0462894439697266,0.0341796875,,0.0121488571166992,,,,,0.0501956939697266,0.0164451599121094,,0.0464458465576172,
310,0.0223827362060547,0.035038948059082,,,0.0277738571166992,,,,,,,0.0462894439697266,0.0342578887939453,,0.0123043060302734,,,,,0.0500392913818359,0.0165233612060547,,0.0464458465576172,
320,0.0224609375,0.035038948059082,,,0.0277738571166992,,,,,,,0.0462112426757812,0.0342578887939453,,0.0124607086181641,,,,,0.0499610900878906,0.0165233612060547,,0.0464458465576172,
330,0.0225391387939453,0.035038948059082,,,0.0277738571166992,,,,,,,0.0462112426757812,0.0343360900878906,,0.0125389099121094,,,,,0.0498046875,0.0166015625,,0.0464458465576172,
340,0.0226173400878906,0.035038948059082,,,0.0277738571166992,,,,,,,0.0461330413818359,0.0344142913818359,,0.0126953125,,,,,0.0497264862060547,0.0166015625,,0.0463676452636719,
350,0.0226955413818359,0.035038948059082,,,0.0277738571166992,,,,,,,0.0461330413818359,0.0344924926757812,,0.0127735137939453,,,,,0.0495700836181641,0.0166797637939453,,0.0463676452636719,
360,0.0227737426757812,0.035038948059082,,,0.0277738571166992,,,,,,,0.0461330413818359,0.0344924926757812,,0.0129299163818359,,,,,0.0494928359985352,0.0167579650878906,,0.0463676452636719,
370,0.0228519439697266,0.035038948059082,,,0.0277738571166992,,,,,,,0.0460548400878906,0.0345706939697266,,0.0130081176757812,,,,,0.0493364334106445,0.0167579650878906,,0.0463676452636719,
380,0.0228519439697266,0.035038948059082,,,0.0278520584106445,,,,,,,0.0460548400878906,0.0345706939697266,,0.0130863189697266,,,,,0.0491800308227539,0.0168361663818359,,0.0463676452636719,
390,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0459766387939453,0.0346488952636719,,0.0131645202636719,,,,,0.0490236282348633,0.0168361663818359,,0.0462894439697266,
400,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0459766387939453,0.0347270965576172,,0.0133199691772461,,,,,0.0488672256469727,0.0169143676757812,,0.0462894439697266,
410,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0458984375,0.0347270965576172,,0.0133981704711914,,,,,0.048710823059082,0.0169925689697266,,0.0462894439697266,
420,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0458984375,0.0347270965576172,,0.0134763717651367,,,,,0.0485553741455078,0.0169925689697266,,0.0462894439697266,
430,0.0230083465576172,0.035038948059082,,,0.0278520584106445,,,,,,,0.0458984375,0.0348052978515625,,0.013554573059082,,,,,0.0483989715576172,0.0170707702636719,,0.0462894439697266,
440,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0458202362060547,0.0348052978515625,,0.0136327743530273,,,,,0.0482425689697266,0.0170707702636719,,0.0462112426757812,
450,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0458202362060547,0.0348052978515625,,0.0137109756469727,,,,,0.0480861663818359,0.0171489715576172,,0.0462112426757812,
460,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0457420349121094,0.0348825454711914,,0.013789176940918,,,,,0.0478515625,0.0171489715576172,,0.0462112426757812,
470,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0457420349121094,0.0348825454711914,,0.0138673782348633,,,,,0.0476951599121094,0.0172262191772461,,0.0462112426757812,
480,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0456638336181641,0.0348825454711914,,0.0139455795288086,,,,,0.0475397109985352,0.0173044204711914,,0.0462112426757812,
490,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0455865859985352,0.0349607467651367,,0.0140237808227539,,,,,0.0473833084106445,0.0173044204711914,,0.0462112426757812,
500,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0455865859985352,0.0349607467651367,,0.0141019821166992,,,,,0.0471487045288086,0.0173826217651367,,0.0462112426757812,
510,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0455083847045898,0.0349607467651367,,0.0141801834106445,,,,,0.046992301940918,0.0173826217651367,,0.0461330413818359,
520,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0455083847045898,0.0349607467651367,,0.0142574310302734,,,,,0.046757698059082,0.017460823059082,,0.0461330413818359,
530,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0454301834106445,0.0349607467651367,,0.0143356323242188,,,,,0.0466022491455078,0.017460823059082,,0.0461330413818359,
540,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0454301834106445,0.0349607467651367,,0.0144138336181641,,,,,0.0464458465576172,0.0175390243530273,,0.0461330413818359,
550,0.0229301452636719,0.035038948059082,,,0.0278520584106445,,,,,,,0.0453519821166992,0.035038948059082,,0.0144920349121094,,,,,0.0462112426757812,0.0175390243530273,,0.0461330413818359,
560,0.0230083465576172,0.035038948059082,,,0.0278520584106445,,,,,,,0.0452737808227539,0.035038948059082,,0.0144920349121094,,,,,0.0460548400878906,0.0176172256469727,,0.0461330413818359,
570,0.0230083465576172,0.035038948059082,,,0.0278520584106445,,,,,,,0.0452737808227539,0.035038948059082,,0.0145702362060547,,,,,0.0458202362060547,0.0176172256469727,,0.0460548400878906,
580,0.0230083465576172,0.035038948059082,,,0.0278520584106445,,,,,,,0.0451955795288086,0.035038948059082,,0.0146484375,,,,,0.0456638336181641,0.0176172256469727,,0.0460548400878906,
590,0.0230083465576172,0.035038948059082,,,0.0278520584106445,,,,,,,0.0451173782348633,0.035038948059082,,0.0147266387939453,,,,,0.0455083847045898,0.017695426940918,,0.0460548400878906,
600,0.0230855941772461,0.035038948059082,,,0.0278520584106445,,,,,,,0.045039176940918,0.035038948059082,,0.0147266387939453,,,,,0.0452737808227539,0.017695426940918,,0.0460548400878906,
610,0.0230855941772461,0.035038948059082,,,0.0278520584106445,,,,,,,0.045039176940918,0.035038948059082,,0.0148048400878906,,,,,0.0451173782348633,0.017695426940918,,0.0460548400878906,
620,0.0231637954711914,0.035038948059082,,,0.0278520584106445,,,,,,,0.0449609756469727,0.035038948059082,,0.0148830413818359,,,,,0.0448827743530273,0.0177736282348633,,0.0460548400878906,
630,0.0231637954711914,0.035038948059082,,,0.0279302597045898,,,,,,,0.0448827743530273,0.035038948059082,,0.0148830413818359,,,,,0.0447263717651367,0.0177736282348633,,0.0460548400878906,
640,0.0232419967651367,0.035038948059082,,,0.0279302597045898,,,,,,,0.044804573059082,0.035038948059082,,0.0149612426757812,,,,,0.0444927215576172,0.0178518295288086,,0.0460548400878906,
