t_s,R75,R77,R78,R80,R81,R83,R92,R98,R100,R102,R105,R114,R117,R120,R121,R122,R124,R125,R126,R127,R128,R129
540.0,-0.014136791229248,-0.0395196937024593,-0.0179180148988962,,-0.0017617226112633,-0.0154883386567235,0.0283086784183979,0.0175743103027344,-0.0005195617559365,,,-0.0324884429574013,-0.0020742416381835,,0.0313790328800678,,,,,,,
550.0,-0.0141992568969727,-0.0395353324711323,-0.0180743224918842,,-0.0016757965786382,-0.0153554920107126,0.0285430904477835,0.0175586696714163,-0.0006054878467693,,,-0.032472800463438,-0.0019335746765136,,0.0313790328800678,,,,,,,
560.0,-0.0142617225646973,-0.0395353324711323,-0.018222713842988,,-0.0015976906288415,-0.0152383809909225,0.0287540443241596,0.0175352096557617,-0.0007148743025027,,,-0.032410241663456,-0.0018163680797442,,0.0313946716487408,,,,,,,
570.0,-0.014308643527329,-0.0395353324711323,-0.0183789264410734,,-0.0015117645962163,-0.015105533413589,0.0289493557065725,0.0175195690244436,-0.0007695198291912,,,-0.0323086753487587,-0.001691436744295,,0.031410314142704,,,,,,,
580.0,-0.0143789295107126,-0.0395431518554688,-0.0185195934027433,,-0.0014179230201989,-0.0149726867675781,0.0291055683046579,0.0175039302557707,-0.0008319854969158,,,-0.0321524627506733,-0.0015742302639409,,0.031433679163456,,,,,,,
590.0,-0.0144414901733398,-0.0395509712398052,-0.0186602603644133,,-0.0013398170704022,-0.0148399351164699,0.0292852409183979,0.0174962040036917,-0.0009023666498251,,,-0.0320352576673031,-0.0014570236671716,,0.0314571373164654,,,,,,,
600.0,-0.0145039558410645,-0.0395899787545204,-0.0188164710998535,,-0.0012695313198491,-0.014714908786118,0.0294024478644133,0.0174805652350187,-0.0009648323175497,,,-0.0319962501525879,-0.0013476371532306,,0.0314727798104286,,,,,,,
610.0,-0.0145820621401072,-0.0396056175231934,-0.0189649593085051,,-0.0011914253700524,-0.0145977018401027,0.0295040141791105,0.0174649246037006,-0.001027298043482,,,-0.0318634025752544,-0.0012382507557049,,0.0314805991947651,,,,,,,
620.0,-0.0146524431183934,-0.0396134369075298,-0.0191211700439453,,-0.0011288643581792,-0.0144726755097508,0.0296680461615324,0.0174492839723825,-0.0010820388561114,,,-0.0317618362605572,-0.001144504523836,,0.031496237963438,,,,,,,
630.0,-0.014707088470459,-0.0396290794014931,-0.0192617420107126,,-0.0010663986904546,-0.0143555644899607,0.0298165325075388,0.0174336433410645,-0.001144504523836,,,-0.0316602699458599,-0.0010351181263104,,0.031496237963438,,,,,,,
